Question;Suʾāl;سؤال
Réponse;Jwāb;جواب
Vos questions, mes réponses;Suʾalātkum, ajwibti;سؤالاتكم، أجوبتي
Votre question, ma réponse;Suʾālkom, jwābi;سؤالكم، جوابي
Ta question, ma réponse;Suʾālek, jwābi;سؤالك، جوابي
Elle a mis tous ses œufs dans la même marchandise;ḥaṭṭat koul l-biḍ f selʿa waḥda;حطت كل البيض ف سلعة وحدة
Soleil;Shams;شمس
Lune;Qamar;قمر
Plus tard;Mshī l-māḥr;مشي لْمَاحْر
Plus tôt;Blaṣṣi;بلّاصّي
Plus;Akthar;أكثر
Moins;Aqall;أقل
Comme;Bḥāl;بحال
Pour;Besh;باش
Avant;Qbel;قبل
Après;Baʿd;بعد
Devant;Qeddam;قدّام
Derrière;Wra;ورا
Tous;Kullshi;كلشي
Même;Nfs;نفس
Jette l'objet;Lāḥ l-ḥaja;لَاحْ الْحَاجَة
